Site,Gorge,Site Nickname,Discoverer,Date of Discovery,Publication,ISBN 10,Site Pager,Number of Figures,Figure Category,Distance to next Site,Next Site,Cardinal Points,Painting Location,Water in Sight,Water Availability,Open Field in Sight,Open Field,Living Place,Spatiality,Visibility,Context,View from Site,Evidence of Human Occupation,Degradation of Paintings,Quantity of Artefacts,Lithics,Pottery,O.E.S.,Bone,Charcoal,Grinding Implements,Stone Structures,Miscellenous Artefact,Remarks
H 32,Hungorob,,Shipahu,14.10.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 � Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 32,11,5,195.5732,H 29,N,3; 4; 5,,>300m,,<300m,unfavourable,4,<15m,isolated,poor,European; Pager's Camp,none,few,NA,NA,NA,NA,NA,NA,NA,NA,
H 33,Hungorob,,Toiwo & Shipahu,03.10.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 � Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 33,21,4,184.3117,H 35,W,5; 6,True,adjacent,True,adjacent,unfavourable,3,<15m,marginal,magnificent,Fireplace and Pager's Camp,water run-off,many,NA,NA,NA,NA,NA,NA,NA,NA,
H 34,Hungorob,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 � Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 34,29,4,60.3578,H 41,N; E,4; 5,,<300m,True,adjacent,spacious,10,>15m,central,rather nice,none,water run-off,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,
H 35,Hungorob,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 � Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 35,70,3,79.1304,H 36,W,5; 6,True,adjacent,True,adjacent,unfavourable,0,<3m,central,rather nice,none,water run-off; vegetation impact,many,NA,NA,NA,NA,NA,NA,NA,NA,
H 36,Hungorob,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 � Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 36,54,4,79.1304,H 35,S,5; 6,,adjacent,True,adjacent,unfavourable,6,<3m,central,rather nice,none,water run-off,many,NA,NA,NA,NA,NA,NA,NA,NA,
H 37,Hungorob,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 � Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 37,60,3,40.5322,H 38,W,5,,<300m,,within shouting distance,unfavourable,5,<3m,marginal,poor,none,water run-off,many,NA,NA,NA,NA,NA,NA,NA,NA,
H 38,Hungorob,,Toiwo & Shipahu,17.10.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 � Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 38,13,5,40.5322,H 37,NE,1,,<300m,True,adjacent,� vertical rock,0,<3m,central,rather nice,none,water run-off,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,
H 39,Hungorob,,Jipsen,1968?,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 � Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 39,6,5,29558,H 135,SW,1,,<300m,True,adjacent,� vertical rock,3,<15m,marginal,rather nice,none,none,few,NA,NA,NA,NA,NA,NA,NA,NA,
H 40,Hungorob,,Toiwo,22.10.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 � Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 40,37,4,40.3803,H 41,S,1,,<300m,True,within shouting distance,� vertical rock,1,<15m,marginal,magnificent,none,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,
H 41,Hungorob,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 � Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 41,4,6,40.3803,H 40,S,1,,<300m,True,adjacent,� vertical rock,4,<3m,marginal,magnificent,none,water run-off,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,
H 42,Hungorob,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 � Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 42,16,5,238.5589,H 39,NW,1,,>300m,,<300m,spacious,5,<3m,marginal,poor,none,disintegration of rock; water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,
H 43,Hungorob,�Schlangenh�hle�,Walter,1971,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 � Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 43,416,1,90.8956,H 46,W,1; 4; 5; 6; 8; 9; 12,,adjacent,,<300m,spacious,45,>15m,marginal,magnificent,Fireplace and Pager's Camp,human impact; water run-off,masses,NA,NA,NA,NA,NA,NA,NA,NA,
H 44,Hungorob,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 � Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 44,37,4,123.4889,H 45,S,4; 5,,<300m,,<300m,unfavourable,5,<3m,isolated,magnificent,none,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,
H 45,Hungorob,�Kleyenst�bers Kinderstube�,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 � Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 45,12,5,90.8503,H 46,S,3; 4,,<300m,,<300m,unfavourable,10,<3m,marginal,magnificent,Fireplace,disintegration of rock; water run-off,many,NA,NA,NA,NA,NA,NA,NA,NA,
H 46,Hungorob,,With & Kleyenst�ber,04.09.1977,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 � Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 46,5,5,48.3971,H 47,N,1,,<300m,True,adjacent,� vertical rock,2,<3m,marginal,rather nice,none,water run-off,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,
H 47,Hungorob,,Toiwo & Shipahu,18.10.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 � Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 47,21,4,48.3971,H 46,W,1,,<300m,True,within shouting distance,� vertical rock,2,<15m,marginal,rather nice,none,disintegration of rock; water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,
H 48,Hungorob,,Lempp,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 � Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 48,17,5,81.0519,H 50,SE,1,,<300m,True,adjacent,� vertical rock,4,<15m,marginal,rather nice,Pager's Camp,water run-off,none,NA,NA,NA,NA,NA,NA,NA,NA,
H 49,Hungorob,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 � Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 49,4,6,41.4912,H 50,W,1,,<300m,True,adjacent,� vertical rock,3,<3m,central,rather nice,none,water run-off,none,NA,NA,NA,NA,NA,NA,NA,NA,
H 50,Hungorob,,Kleyenst�ber,04.09.1977,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 � Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 50,4,6,41.4912,H 49,SE,1; 12,,<300m,True,adjacent,� vertical rock,0,<15m,central,rather nice,none,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,
H 51,Hungorob,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 � Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 51,23,4,35.9235,H 52,W,5,,<300m,True,adjacent,unfavourable,4,<3m,central,magnificent,none,water run-off,many,NA,NA,NA,NA,NA,NA,NA,NA,
H 52,Hungorob,,Kleyenst�ber,04.09.1977,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 � Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 52,18,5,35.9235,H 51,SW,5; 10,,<300m,,within shouting distance,unfavourable,4,<3m,marginal,rather nice,none,vegetation impact,few,NA,NA,NA,NA,NA,NA,NA,NA,
H 53,Hungorob,,Kleyenst�ber,04.09.1977,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 � Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 53,10,5,157.1725,H 52,NW,3; 4,,>300m,True,within shouting distance,unfavourable,8,<15m,marginal,magnificent,none,water run-off,none,NA,NA,NA,NA,NA,NA,NA,NA,
H 54,Hungorob,,Toiwo & Shipahu,08.11.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 � Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 54,7,5,181.3554,H 53,N,5,,<300m,,<300m,unfavourable,4,<3m,marginal,rather nice,none,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,
H 55,Hungorob,,Toiwo & Shipahu,08.11.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 � Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 55,65,3,176.2114,H 56,S,3; 4; 5,,>300m,,>300m,unfavourable,6,>15m,isolated,rather nice,none,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,
H 56,Hungorob,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 � Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 56,13,5,176.2114,H 55,S,1; 12,,>300m,True,adjacent,� vertical rock,1,<15m,isolated,rather nice,none,disintegration of rock; water run-off,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,
H 57,Hungorob,,Shipahu,28.10.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 � Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 57,16,5,97.3921,H 69,SE,4,,>300m,,within shouting distance,unfavourable,2,<1m,isolated,magnificent,none,water run-off,none,NA,NA,NA,NA,NA,NA,NA,NA,
H 58,Hungorob,,H. Lempp,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 � Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 58,52,4,71.2887,H 59,N,1,True,within shouting distance,True,adjacent,� vertical rock,2,<3m,central,magnificent,none,water run-off,many,NA,NA,NA,NA,NA,NA,NA,NA,
H 59,Hungorob,,Walter?,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 � Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 59,71,3,71.2887,H 58,S; SW,4; 5; 6; 12,True,within shouting distance,True,within shouting distance,unfavourable,19,<1m,marginal,magnificent,European; Pager's Camp,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,
H 60,Hungorob,,Clauss,March 75,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 � Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 60,24,4,82418,H 62,SE,5,,<300m,,>300m,unfavourable,10,<3m,isolated,rather nice,Fireplace and Pager's Camp,water run-off,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,
H 61,Hungorob,,Clauss,March 75,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 � Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 61,7,5,235.6691,H 60,N,7,,>300m,,<300m,unfavourable,3,<3m,isolated,rather nice,none,disintegration of rock; water run-off,none,NA,NA,NA,NA,NA,NA,NA,NA,
H 62,Hungorob,,Clauss,March 75,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 � Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 62,83,3,82418,H 60,E,1; 4; 12,,<300m,True,adjacent,unfavourable; � vertical rock,3,<15m,marginal,rather nice,none,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,
H 63,Hungorob,,Shipahu,28.10.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 � Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 63,38,4,76.2209,H 64,W,5; 10,,<300m,True,adjacent,spacious,3,<1m,marginal,poor,none,disintegration of rock; water run-off,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,
H 64,Hungorob,,Shipahu,28.10.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 � Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 64,15,5,76.2209,H 63,W,1,,>300m,True,adjacent,� vertical rock,9,<15m,marginal,rather nice,none,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,
H 65,Hungorob,,Toiwo & Shipahu,03.11.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 � Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 65,15,5,253.1955,H 59,NW,1,,<300m,,>300m,� vertical rock,3,<15m,isolated,poor,none,water run-off,none,NA,NA,NA,NA,NA,NA,NA,NA,
H 66,Hungorob,,Walter?,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 � Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 66,6,5,270.3697,H 65,N,1,,<300m,True,adjacent,� vertical rock,3,>15m,isolated,rather nice,none,water run-off,none,NA,NA,NA,NA,NA,NA,NA,NA,
H 67,Hungorob,,Kleyenst�ber,04.09.1977,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 � Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 67,55,4,709.6251,H 66,NW,3; 4; 5; 11; 12,,>300m,True,adjacent,unfavourable,9,<15m,isolated,rather nice,none,none,few,NA,NA,NA,NA,NA,NA,NA,NA,
H 68,Hungorob,,Toiwo & Shipahu,27.11.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 � Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 68,3,6,602.9091,N 3,SW,1,,>300m,True,adjacent,� vertical rock,3,<3m,isolated,magnificent,none,disintegration of rock; water run-off,none,NA,NA,NA,NA,NA,NA,NA,NA,
H 69,Hungorob,,Toiwo & Shipahu,03.12.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 � Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 69,6,5,97.3921,H 57,N,1,,>300m,True,adjacent,� vertical rock,3,<3m,isolated,rather nice,none,water run-off,none,NA,NA,NA,NA,NA,NA,NA,NA,
H 70,Hungorob,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 � Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 70,10,5,171.6975,A 64,SW,1; 2,,>300m,True,adjacent,� vertical rock,1,<15m,isolated,rather nice,none,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,
H 71,Hungorob,,Toiwo & Shipahu,13.05.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 � Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 71,88,3,59.7101,A 64,SE,1; 6; 12,,within shouting distance,True,adjacent,unfavourable,21,<3m,marginal,magnificent,Fireplace and Pager's Camp,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,
H 72,Hungorob,,Toiwo & Shipahu,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 � Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 72,186,3,50.8733,H 73,NE,1; 8; 12,,<300m,True,within shouting distance,unfavourable,9,<15m,marginal,magnificent,none,disintegration of rock; water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,
H 73,Hungorob,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 � Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 73,11,5,50.8733,H 72,SE,1,,>300m,True,adjacent,� vertical rock,1,<15m,marginal,magnificent,none,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,
H 74,Hungorob,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 � Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 74,198,2,330.3209,H 75,SW,1; 5; 6; 12,True,adjacent,True,within shouting distance,unfavourable,8,<1m,marginal,magnificent,none,water run-off,none,NA,NA,NA,NA,NA,NA,NA,NA,
H 75,Hungorob,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 � Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 75,389,2,179.3188,H 78,W,3; 4; 5; 10,True,within shouting distance,True,adjacent,unfavourable,20,<15m,central,magnificent,Fireplace and Pager's Camp,water run-off,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,
H 76,Hungorob,,Toiwo & Shipahu,12.12.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 � Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 76,5,5,136.9173,H 77,E,5; 9,,>300m,True,within shouting distance,unfavourable,4,<3m,marginal,magnificent,none,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,
H 77,Hungorob,,Toiwo & Shipahu,12.12.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 � Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 77,66,3,136.9173,H 76,SE,5; 6; 10,,>300m,True,within shouting distance,unfavourable,8,<3m,marginal,magnificent,Fireplace,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,
H 78,Hungorob,,Walter,18.04.1980,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 � Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 78,5,5,179.3188,H 75,W,1,,>300m,True,adjacent,� vertical rock,8,<15m,marginal,rather nice,none,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,
H 79,Hungorob,,Toiwo,27.11.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 � Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 79,71,3,67.9539,H 80,N,8; 11,,>300m,,adjacent,unfavourable,14,<15m,isolated,rather nice,Pager's Camp,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,
H 80,Hungorob,,Toiwo,27.11.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 � Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 80,28,4,67.9539,H 79,W,1,,>300m,True,within shouting distance,� vertical rock,2,<15m,isolated,rather nice,none,water run-off,none,NA,NA,NA,NA,NA,NA,NA,NA,
H 81,Hungorob,,Shipahu,27.11.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 � Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 81,24,4,333.3037,H 80,NW,6; 11,,>300m,,>300m,unfavourable,16,<3m,isolated,rather nice,none,water run-off,none,NA,NA,NA,NA,NA,NA,NA,NA,
H 82,Hungorob,,Shipahu,27.11.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 � Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 82,8,5,98862,H 83,W,5; 6,,<300m,,>300m,unfavourable,2,<3m,isolated,poor,none,water run-off,none,NA,NA,NA,NA,NA,NA,NA,NA,
H 83,Hungorob,,Toiwo,23.11.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 � Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 83,9,5,98862,H 82,NE,4; 5,,<300m,True,adjacent,unfavourable,2,<15m,marginal,rather nice,none,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,
H 84,Hungorob,,Toiwo,23.11.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 � Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 84,31,4,61.5084,H 89,S,1,True,adjacent,,<300m,� vertical rock,4,<15m,marginal,rather nice,none,water run-off,none,NA,NA,NA,NA,NA,NA,NA,NA,
H 85,Hungorob,,J. Rudner,1955,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 � Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 85,339,2,138.8242,H 86,SW,4; 5; 7; 8; 9; 10; 11,,<300m,True,adjacent,spacious,22,>15m,central,rather nice,Fireplace and Pager's Camp,disintegration of rock; water run-off,many,NA,NA,NA,NA,NA,NA,NA,NA,
H 86,Hungorob,,Shipahu,22.05.1980,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 � Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 86,1,6,138.8242,H 85,E,4,,<300m,True,within shouting distance,unfavourable,8,<3m,central,rather nice,none,none,few,NA,NA,NA,NA,NA,NA,NA,NA,
H 87,Hungorob,,Rudner,1955,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 � Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 87,171,3,95.0464,H 90,S,1,,<300m,True,adjacent,� vertical rock,16,<3m,marginal,poor,none,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,
H 88,Hungorob,,Shipahu,24.05.1980,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 � Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 88,27,4,46.4503,H 89,W,8,,within shouting distance,,<300m,unfavourable,8,<3m,marginal,rather nice,none,none,none,NA,NA,NA,NA,NA,NA,NA,NA,
H 89,Hungorob,,Shipahu,24.05.1980,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 � Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 89,26,4,46.4503,H 88,SE,5,,within shouting distance,True,adjacent,unfavourable,5,<1m,marginal,rather nice,none,water run-off,none,NA,NA,NA,NA,NA,NA,NA,NA,
H 90,Hungorob,,Toiwo,16.07.1980,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 � Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 90,20,4,95.0464,H 87,N,4,True,adjacent,True,within shouting distance,unfavourable,5,<15m,marginal,rather nice,none,water run-off,none,NA,NA,NA,NA,NA,NA,NA,NA,
H 91,Hungorob,,A. Viereck,1955,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 � Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 91,4,6,202722,H 92,N,1,True,within shouting distance,True,adjacent,� vertical rock,2,>15m,marginal,rather nice,none,water run-off,none,NA,NA,NA,NA,NA,NA,NA,NA,
H 92,Hungorob,,Toiwo & Shipahu,23.11.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 � Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 92,40,4,202722,H 91,W,4,True,adjacent,,within shouting distance,unfavourable,4,<3m,marginal,rather nice,none,water run-off,none,NA,NA,NA,NA,NA,NA,NA,NA,
H 93,Hungorob,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 2 � Hungorob Gorge. Africa Praehistorica 4 (Köln: Heinrich Barth Institut); 1993.,3-927688-05-3,H 93,14,5,118.4678,H 94,E,1,,<300m,True,adjacent,� vertical rock,3,<15m,marginal,rather nice,none,disintegration of rock; water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,
